2022-07-08 18:45:35,751 INFO    MainThread:18088 [wandb_setup.py:_flush():76] Loading settings from /Users/keanl/.config/wandb/settings
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_setup.py:_flush():76] Loading settings from /Users/keanl/Desktop/Computer_Science/Research/Q-Table-Learning/wandb/settings
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Q-table-replay.py', 'program': '/Users/keanl/Desktop/Computer_Science/Research/Q-Table-Learning/Q-table-replay.py'}
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_init.py:_log_setup():428] Logging user logs to /Users/keanl/Desktop/Computer_Science/Research/Q-Table-Learning/wandb/run-20220708_184535-qpkc31vq/logs/debug.log
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_init.py:_log_setup():429] Logging internal logs to /Users/keanl/Desktop/Computer_Science/Research/Q-Table-Learning/wandb/run-20220708_184535-qpkc31vq/logs/debug-internal.log
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_init.py:init():462] calling init triggers
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {'env': 'molecule_20', 'lr': 0.005, 'lr_decay': 0.0, 'y': 0.99, 'eps': 1.0, 'eps_decay': 0.9999, 'min_eps': 0.0001, 'cost': 0.01}
2022-07-08 18:45:35,752 INFO    MainThread:18088 [wandb_init.py:init():515] starting backend
2022-07-08 18:45:35,752 INFO    MainThread:18088 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-07-08 18:45:35,765 INFO    MainThread:18088 [backend.py:ensure_launched():217] starting backend process...
2022-07-08 18:45:35,772 INFO    MainThread:18088 [backend.py:ensure_launched():222] started backend process with pid: 18092
2022-07-08 18:45:35,774 INFO    MainThread:18088 [wandb_init.py:init():525] backend started and connected
2022-07-08 18:45:35,797 INFO    MainThread:18088 [wandb_init.py:init():596] updated telemetry
2022-07-08 18:45:35,798 INFO    MainThread:18088 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-07-08 18:45:36,453 INFO    MainThread:18088 [wandb_run.py:_on_init():1924] communicating current version
2022-07-08 18:45:36,525 INFO    MainThread:18088 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.12.21 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-08 18:45:36,525 INFO    MainThread:18088 [wandb_init.py:init():662] starting run threads in backend
2022-07-08 18:45:39,137 INFO    MainThread:18088 [wandb_run.py:_console_start():1898] atexit reg
2022-07-08 18:45:39,137 INFO    MainThread:18088 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2022-07-08 18:45:39,138 INFO    MainThread:18088 [wandb_run.py:_redirect():1776] Redirecting console.
2022-07-08 18:45:39,138 INFO    MainThread:18088 [wandb_run.py:_redirect():1832] Redirects installed.
2022-07-08 18:45:39,138 INFO    MainThread:18088 [wandb_init.py:init():688] run started, returning control to user process
